2025-07-16 23:07:26,971 - INFO - 出力ディレクトリ構造を作成: /mnt/nfs1/home/yamamoto-hiroto/research/vertebrae_saka/Sakaguchi_file/YOLO_datasets/vertebrae_fracture
2025-07-16 23:07:26,971 - INFO - NIfTI → YOLO形式変換開始
2025-07-16 23:07:26,972 - INFO - trainデータセットを処理中...
2025-07-16 23:07:30,162 - INFO - 処理済み: 100, 成功: 100
2025-07-16 23:07:30,398 - INFO - 処理済み: 200, 成功: 200
2025-07-16 23:07:30,672 - INFO - 処理済み: 300, 成功: 300
2025-07-16 23:07:30,881 - INFO - 処理済み: 400, 成功: 400
2025-07-16 23:07:31,166 - INFO - 処理済み: 500, 成功: 500
2025-07-16 23:07:31,409 - INFO - 処理済み: 600, 成功: 600
2025-07-16 23:07:31,625 - INFO - 処理済み: 700, 成功: 700
2025-07-16 23:07:31,851 - INFO - 処理済み: 800, 成功: 800
2025-07-16 23:07:32,082 - INFO - 処理済み: 900, 成功: 900
2025-07-16 23:07:32,296 - INFO - 処理済み: 1000, 成功: 1000
2025-07-16 23:07:32,519 - INFO - 処理済み: 1100, 成功: 1100
2025-07-16 23:07:32,744 - INFO - 処理済み: 1200, 成功: 1200
2025-07-16 23:07:32,972 - INFO - 処理済み: 1300, 成功: 1300
2025-07-16 23:07:33,194 - INFO - 処理済み: 1400, 成功: 1400
2025-07-16 23:07:33,400 - INFO - 処理済み: 1500, 成功: 1500
2025-07-16 23:07:33,619 - INFO - 処理済み: 1600, 成功: 1600
2025-07-16 23:07:33,814 - INFO - 処理済み: 1700, 成功: 1700
2025-07-16 23:07:34,007 - INFO - 処理済み: 1800, 成功: 1800
2025-07-16 23:07:34,219 - INFO - 処理済み: 1900, 成功: 1900
2025-07-16 23:07:34,430 - INFO - 処理済み: 2000, 成功: 2000
2025-07-16 23:07:34,642 - INFO - 処理済み: 2100, 成功: 2100
2025-07-16 23:07:34,857 - INFO - 処理済み: 2200, 成功: 2200
2025-07-16 23:07:35,088 - INFO - 処理済み: 2300, 成功: 2300
2025-07-16 23:07:35,309 - INFO - 処理済み: 2400, 成功: 2400
2025-07-16 23:07:35,525 - INFO - 処理済み: 2500, 成功: 2500
2025-07-16 23:07:35,755 - INFO - 処理済み: 2600, 成功: 2600
2025-07-16 23:07:35,963 - INFO - 処理済み: 2700, 成功: 2700
2025-07-16 23:07:36,229 - INFO - 処理済み: 2800, 成功: 2800
2025-07-16 23:07:36,453 - INFO - 処理済み: 2900, 成功: 2900
2025-07-16 23:07:36,670 - INFO - 処理済み: 3000, 成功: 3000
2025-07-16 23:07:36,884 - INFO - 処理済み: 3100, 成功: 3100
2025-07-16 23:07:37,114 - INFO - 処理済み: 3200, 成功: 3200
2025-07-16 23:07:37,328 - INFO - 処理済み: 3300, 成功: 3300
2025-07-16 23:07:37,560 - INFO - 処理済み: 3400, 成功: 3400
2025-07-16 23:07:37,796 - INFO - 処理済み: 3500, 成功: 3500
2025-07-16 23:07:38,014 - INFO - 処理済み: 3600, 成功: 3600
2025-07-16 23:07:38,226 - INFO - 処理済み: 3700, 成功: 3700
2025-07-16 23:07:38,442 - INFO - 処理済み: 3800, 成功: 3800
2025-07-16 23:07:38,665 - INFO - 処理済み: 3900, 成功: 3900
2025-07-16 23:07:38,888 - INFO - 処理済み: 4000, 成功: 4000
2025-07-16 23:07:39,098 - INFO - 処理済み: 4100, 成功: 4100
2025-07-16 23:07:39,325 - INFO - 処理済み: 4200, 成功: 4200
2025-07-16 23:07:39,531 - INFO - 処理済み: 4300, 成功: 4300
2025-07-16 23:07:39,737 - INFO - 処理済み: 4400, 成功: 4400
2025-07-16 23:07:39,956 - INFO - 処理済み: 4500, 成功: 4500
2025-07-16 23:07:40,208 - INFO - 処理済み: 4600, 成功: 4600
2025-07-16 23:07:40,450 - INFO - 処理済み: 4700, 成功: 4700
2025-07-16 23:07:40,680 - INFO - 処理済み: 4800, 成功: 4800
2025-07-16 23:07:40,902 - INFO - 処理済み: 4900, 成功: 4900
2025-07-16 23:07:41,187 - INFO - 処理済み: 5000, 成功: 5000
2025-07-16 23:07:41,415 - INFO - 処理済み: 5100, 成功: 5100
2025-07-16 23:07:41,650 - INFO - 処理済み: 5200, 成功: 5200
2025-07-16 23:07:41,877 - INFO - 処理済み: 5300, 成功: 5300
2025-07-16 23:07:42,098 - INFO - 処理済み: 5400, 成功: 5400
2025-07-16 23:07:42,331 - INFO - 処理済み: 5500, 成功: 5500
2025-07-16 23:07:42,555 - INFO - 処理済み: 5600, 成功: 5600
2025-07-16 23:07:42,803 - INFO - 処理済み: 5700, 成功: 5700
2025-07-16 23:07:43,046 - INFO - 処理済み: 5800, 成功: 5800
2025-07-16 23:07:43,297 - INFO - 処理済み: 5900, 成功: 5900
2025-07-16 23:07:43,541 - INFO - 処理済み: 6000, 成功: 6000
2025-07-16 23:07:43,794 - INFO - 処理済み: 6100, 成功: 6100
2025-07-16 23:07:44,045 - INFO - 処理済み: 6200, 成功: 6200
2025-07-16 23:07:44,283 - INFO - 処理済み: 6300, 成功: 6300
2025-07-16 23:07:44,564 - INFO - 処理済み: 6400, 成功: 6400
2025-07-16 23:07:44,790 - INFO - 処理済み: 6500, 成功: 6500
2025-07-16 23:07:45,038 - INFO - 処理済み: 6600, 成功: 6600
2025-07-16 23:07:45,286 - INFO - 処理済み: 6700, 成功: 6700
2025-07-16 23:07:45,524 - INFO - 処理済み: 6800, 成功: 6800
2025-07-16 23:07:45,767 - INFO - 処理済み: 6900, 成功: 6900
2025-07-16 23:07:46,009 - INFO - 処理済み: 7000, 成功: 7000
2025-07-16 23:07:46,345 - INFO - 処理済み: 7100, 成功: 7100
2025-07-16 23:07:46,596 - INFO - 処理済み: 7200, 成功: 7200
2025-07-16 23:07:46,853 - INFO - 処理済み: 7300, 成功: 7300
2025-07-16 23:07:47,071 - INFO - 処理済み: 7400, 成功: 7400
2025-07-16 23:07:47,328 - INFO - 処理済み: 7500, 成功: 7500
2025-07-16 23:07:47,546 - INFO - 処理済み: 7600, 成功: 7600
2025-07-16 23:07:47,753 - INFO - 処理済み: 7700, 成功: 7700
2025-07-16 23:07:47,972 - INFO - 処理済み: 7800, 成功: 7800
2025-07-16 23:07:48,194 - INFO - 処理済み: 7900, 成功: 7900
2025-07-16 23:07:48,408 - INFO - 処理済み: 8000, 成功: 8000
2025-07-16 23:07:48,631 - INFO - 処理済み: 8100, 成功: 8100
2025-07-16 23:07:48,844 - INFO - 処理済み: 8200, 成功: 8200
2025-07-16 23:07:49,080 - INFO - 処理済み: 8300, 成功: 8300
2025-07-16 23:07:49,285 - INFO - 処理済み: 8400, 成功: 8400
2025-07-16 23:07:49,510 - INFO - 処理済み: 8500, 成功: 8500
2025-07-16 23:07:49,740 - INFO - 処理済み: 8600, 成功: 8600
2025-07-16 23:07:49,952 - INFO - 処理済み: 8700, 成功: 8700
2025-07-16 23:07:50,171 - INFO - 処理済み: 8800, 成功: 8800
2025-07-16 23:07:50,379 - INFO - 処理済み: 8900, 成功: 8900
2025-07-16 23:07:50,604 - INFO - 処理済み: 9000, 成功: 9000
2025-07-16 23:07:50,816 - INFO - 処理済み: 9100, 成功: 9100
2025-07-16 23:07:51,023 - INFO - 処理済み: 9200, 成功: 9200
2025-07-16 23:07:51,309 - INFO - 処理済み: 9300, 成功: 9300
2025-07-16 23:07:51,570 - INFO - 処理済み: 9400, 成功: 9400
2025-07-16 23:07:51,787 - INFO - 処理済み: 9500, 成功: 9500
2025-07-16 23:07:52,007 - INFO - 処理済み: 9600, 成功: 9600
2025-07-16 23:07:52,211 - INFO - 処理済み: 9700, 成功: 9700
2025-07-16 23:07:52,440 - INFO - 処理済み: 9800, 成功: 9800
2025-07-16 23:07:52,704 - INFO - 処理済み: 9900, 成功: 9900
2025-07-16 23:07:52,929 - INFO - 処理済み: 10000, 成功: 10000
2025-07-16 23:07:53,131 - INFO - 処理済み: 10100, 成功: 10100
2025-07-16 23:07:53,353 - INFO - 処理済み: 10200, 成功: 10200
2025-07-16 23:07:53,566 - INFO - 処理済み: 10300, 成功: 10300
2025-07-16 23:07:53,774 - INFO - 処理済み: 10400, 成功: 10400
2025-07-16 23:07:53,991 - INFO - 処理済み: 10500, 成功: 10500
2025-07-16 23:07:54,260 - INFO - 処理済み: 10600, 成功: 10600
2025-07-16 23:07:54,464 - INFO - 処理済み: 10700, 成功: 10700
2025-07-16 23:07:54,672 - INFO - 処理済み: 10800, 成功: 10800
2025-07-16 23:07:54,947 - INFO - 処理済み: 10900, 成功: 10900
2025-07-16 23:07:55,144 - INFO - 処理済み: 11000, 成功: 11000
2025-07-16 23:07:55,360 - INFO - 処理済み: 11100, 成功: 11100
2025-07-16 23:07:55,569 - INFO - 処理済み: 11200, 成功: 11200
2025-07-16 23:07:55,858 - INFO - 処理済み: 11300, 成功: 11300
2025-07-16 23:07:56,125 - INFO - 処理済み: 11400, 成功: 11400
2025-07-16 23:07:56,346 - INFO - 処理済み: 11500, 成功: 11500
2025-07-16 23:07:56,570 - INFO - 処理済み: 11600, 成功: 11600
2025-07-16 23:07:56,846 - INFO - 処理済み: 11700, 成功: 11700
2025-07-16 23:07:57,039 - INFO - 処理済み: 11800, 成功: 11800
2025-07-16 23:07:57,239 - INFO - 処理済み: 11900, 成功: 11900
2025-07-16 23:07:57,452 - INFO - 処理済み: 12000, 成功: 12000
2025-07-16 23:07:57,716 - INFO - 処理済み: 12100, 成功: 12100
2025-07-16 23:07:57,929 - INFO - 処理済み: 12200, 成功: 12200
2025-07-16 23:07:58,143 - INFO - 処理済み: 12300, 成功: 12300
2025-07-16 23:07:58,431 - INFO - 処理済み: 12400, 成功: 12400
2025-07-16 23:07:58,662 - INFO - 処理済み: 12500, 成功: 12500
2025-07-16 23:07:58,857 - INFO - 処理済み: 12600, 成功: 12600
2025-07-16 23:07:59,069 - INFO - 処理済み: 12700, 成功: 12700
2025-07-16 23:07:59,341 - INFO - 処理済み: 12800, 成功: 12800
2025-07-16 23:07:59,561 - INFO - 処理済み: 12900, 成功: 12900
2025-07-16 23:07:59,778 - INFO - 処理済み: 13000, 成功: 13000
2025-07-16 23:07:59,996 - INFO - 処理済み: 13100, 成功: 13100
2025-07-16 23:08:00,287 - INFO - 処理済み: 13200, 成功: 13200
2025-07-16 23:08:00,502 - INFO - 処理済み: 13300, 成功: 13300
2025-07-16 23:08:00,711 - INFO - 処理済み: 13400, 成功: 13400
2025-07-16 23:08:00,918 - INFO - 処理済み: 13500, 成功: 13500
2025-07-16 23:08:01,231 - INFO - 処理済み: 13600, 成功: 13600
2025-07-16 23:08:01,440 - INFO - 処理済み: 13700, 成功: 13700
2025-07-16 23:08:01,665 - INFO - 処理済み: 13800, 成功: 13800
2025-07-16 23:08:01,886 - INFO - 処理済み: 13900, 成功: 13900
2025-07-16 23:08:02,104 - INFO - 処理済み: 14000, 成功: 14000
2025-07-16 23:08:02,314 - INFO - 処理済み: 14100, 成功: 14100
2025-07-16 23:08:02,643 - INFO - 処理済み: 14200, 成功: 14200
2025-07-16 23:08:02,883 - INFO - 処理済み: 14300, 成功: 14300
2025-07-16 23:08:03,114 - INFO - 処理済み: 14400, 成功: 14400
2025-07-16 23:08:03,340 - INFO - 処理済み: 14500, 成功: 14500
2025-07-16 23:08:03,556 - INFO - 処理済み: 14600, 成功: 14600
2025-07-16 23:08:03,779 - INFO - 処理済み: 14700, 成功: 14700
2025-07-16 23:08:04,085 - INFO - 処理済み: 14800, 成功: 14800
2025-07-16 23:08:04,305 - INFO - 処理済み: 14900, 成功: 14900
2025-07-16 23:08:04,551 - INFO - 処理済み: 15000, 成功: 15000
2025-07-16 23:08:04,773 - INFO - 処理済み: 15100, 成功: 15100
2025-07-16 23:08:04,974 - INFO - 処理済み: 15200, 成功: 15200
2025-07-16 23:08:05,299 - INFO - 処理済み: 15300, 成功: 15300
2025-07-16 23:08:05,526 - INFO - 処理済み: 15400, 成功: 15400
2025-07-16 23:08:06,304 - INFO - 処理済み: 15500, 成功: 15500
2025-07-16 23:08:06,510 - INFO - 処理済み: 15600, 成功: 15600
2025-07-16 23:08:06,726 - INFO - 処理済み: 15700, 成功: 15700
2025-07-16 23:08:07,055 - INFO - 処理済み: 15800, 成功: 15800
2025-07-16 23:08:07,267 - INFO - 処理済み: 15900, 成功: 15900
2025-07-16 23:08:07,483 - INFO - 処理済み: 16000, 成功: 16000
2025-07-16 23:08:07,711 - INFO - 処理済み: 16100, 成功: 16100
2025-07-16 23:08:07,940 - INFO - 処理済み: 16200, 成功: 16200
2025-07-16 23:08:08,165 - INFO - 処理済み: 16300, 成功: 16300
